Disturbance,Temperature,Common_Name,Sex,Date,Initial_Three_Min_Cnt,TaxonCode,PIF_Watchlist_Status,Year,Scientific_Name,AcceptedTSN,Source_Sheet,AOU_Code,Interval_Length,Location_Type,End_Time,Admin_Unit_Code,Sky,Wind,Flyover_Observed,Distance,Humidity,Regional_Stewardship_Status,Start_Time,ID_Method,Plot_Name,Visit,Observer,Ecosystem
No effect on count,19.8999996185303,Carolina Wren,Unknown,2018-05-22,True,88350,False,2018,Thryothorus ludovicianus,178581,ANTI,CARW,1.25,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,False,06:19:00,Singing,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Carolina Chickadee,Unknown,2018-05-22,False,265876,False,2018,Poecile carolinensis,554383,ANTI,CACH,8.75,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,True,06:19:00,Visualization,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Eastern Wood-Pewee,Undetermined,2018-05-22,True,85846,False,2018,Contopus virens,178359,ANTI,EAWP,1.25,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,75.0,79.4000015258789,True,06:19:00,Singing,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,American Crow,Unknown,2018-05-22,False,87106,False,2018,Corvus brachyrhynchos,179731,ANTI,AMCR,3.75,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,75.0,79.4000015258789,False,06:19:00,Calling,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Indigo Bunting,Undetermined,2018-05-22,True,94257,False,2018,Passerina cyanea,179150,ANTI,INBU,1.25,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,True,06:19:00,Singing,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Eastern Tufted Titmouse,Unknown,2018-05-22,False,266957,False,2018,Baeolophus bicolor,554138,ANTI,ETTI,3.75,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,False,06:19:00,Singing,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Yellow Warbler,Undetermined,2018-05-22,False,773778,False,2018,Setophaga petechia,950039,ANTI,YEWA,8.75,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,False,06:19:00,Singing,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Mourning Dove,Unknown,2018-05-22,False,82737,False,2018,Zenaida macroura,177125,ANTI,MODO,3.75,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,False,06:19:00,Visualization,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Field Sparrow,Undetermined,2018-05-22,False,84790,False,2018,Spizella pusilla,179443,ANTI,FISP,3.75,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,True,06:19:00,Singing,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,20.7999992370605,Red-bellied Woodpecker,Unknown,2018-05-22,False,84865,False,2018,Melanerpes carolinus,178195,ANTI,RBWO,6.25,Forest,06:12:00,ANTI,Cloudy/Overcast,1.0,False,75.0,72.1999969482422,False,06:02:00,Calling,ANTI-0082,1,Kimberly Serno,Forest
No effect on count,20.7999992370605,Eastern Tufted Titmouse,Undetermined,2018-05-22,False,266957,False,2018,Baeolophus bicolor,554138,ANTI,ETTI,8.75,Forest,06:12:00,ANTI,Cloudy/Overcast,1.0,False,75.0,72.1999969482422,False,06:02:00,Singing,ANTI-0082,1,Kimberly Serno,Forest
No effect on count,20.7999992370605,Eastern Tufted Titmouse,Undetermined,2018-05-22,True,266957,False,2018,Baeolophus bicolor,554138,ANTI,ETTI,1.25,Forest,06:12:00,ANTI,Cloudy/Overcast,1.0,False,50.0,72.1999969482422,False,06:02:00,Singing,ANTI-0082,1,Kimberly Serno,Forest
No effect on count,20.7999992370605,Eastern Bluebird,Unknown,2018-05-22,True,87184,False,2018,Sialia sialis,179801,ANTI,EABL,1.25,Forest,06:12:00,ANTI,Cloudy/Overcast,1.0,False,50.0,72.1999969482422,False,06:02:00,Singing,ANTI-0082,1,Kimberly Serno,Forest
No effect on count,20.7999992370605,Downy Woodpecker,Unknown,2018-05-22,True,84936,False,2018,Picoides pubescens,178259,ANTI,DOWO,1.25,Forest,06:12:00,ANTI,Cloudy/Overcast,1.0,False,50.0,72.1999969482422,True,06:02:00,Calling,ANTI-0082,1,Kimberly Serno,Forest
No effect on count,20.7999992370605,Chipping Sparrow,Undetermined,2018-05-22,True,84781,False,2018,Spizella passerina,179435,ANTI,CHSP,1.25,Forest,06:12:00,ANTI,Cloudy/Overcast,1.0,False,75.0,72.1999969482422,False,06:02:00,Singing,ANTI-0082,1,Kimberly Serno,Forest
No effect on count,20.7999992370605,Carolina Wren,Unknown,2018-05-22,False,88350,False,2018,Thryothorus ludovicianus,178581,ANTI,CARW,3.75,Forest,06:12:00,ANTI,Cloudy/Overcast,1.0,False,50.0,72.1999969482422,False,06:02:00,Singing,ANTI-0082,1,Kimberly Serno,Forest
No effect on count,20.7999992370605,Carolina Wren,Unknown,2018-05-22,True,88350,False,2018,Thryothorus ludovicianus,178581,ANTI,CARW,1.25,Forest,06:12:00,ANTI,Cloudy/Overcast,1.0,False,75.0,72.1999969482422,False,06:02:00,Calling,ANTI-0082,1,Kimberly Serno,Forest
No effect on count,20.7999992370605,Baltimore Oriole,Unknown,2018-05-22,False,93655,False,2018,Icterus galbula,179083,ANTI,BAOR,8.75,Forest,06:12:00,ANTI,Cloudy/Overcast,1.0,False,50.0,72.1999969482422,False,06:02:00,Singing,ANTI-0082,1,Kimberly Serno,Forest
No effect on count,20.7999992370605,Northern Cardinal,Unknown,2018-05-22,True,94228,False,2018,Cardinalis cardinalis,179124,ANTI,NOCA,1.25,Forest,06:12:00,ANTI,Cloudy/Overcast,1.0,False,75.0,72.1999969482422,False,06:02:00,Singing,ANTI-0082,1,Kimberly Serno,Forest
No effect on count,20.7999992370605,Great Crested Flycatcher,Unknown,2018-05-22,False,85791,False,2018,Myiarchus crinitus,178309,ANTI,GCFL,3.75,Forest,06:12:00,ANTI,Cloudy/Overcast,1.0,False,75.0,72.1999969482422,False,06:02:00,Calling,ANTI-0082,1,Kimberly Serno,Forest
No effect on count,21.7000007629395,Eastern Wood-Pewee,Undetermined,2018-05-22,False,85846,False,2018,Contopus virens,178359,ANTI,EAWP,3.75,Forest,07:31:00,ANTI,Mist/Drizzle,2.0,False,75.0,75.8000030517578,True,07:21:00,Singing,ANTI-0078,1,Kimberly Serno,Forest
No effect on count,21.7000007629395,Field Sparrow,Undetermined,2018-05-22,False,84790,False,2018,Spizella pusilla,179443,ANTI,FISP,8.75,Forest,07:31:00,ANTI,Mist/Drizzle,2.0,False,75.0,75.8000030517578,True,07:21:00,Singing,ANTI-0078,1,Kimberly Serno,Forest
No effect on count,21.7000007629395,Indigo Bunting,Undetermined,2018-05-22,False,94257,False,2018,Passerina cyanea,179150,ANTI,INBU,3.75,Forest,07:31:00,ANTI,Mist/Drizzle,2.0,False,50.0,75.8000030517578,True,07:21:00,Singing,ANTI-0078,1,Kimberly Serno,Forest
No effect on count,21.7000007629395,Mourning Dove,Unknown,2018-05-22,True,82737,False,2018,Zenaida macroura,177125,ANTI,MODO,1.25,Forest,07:31:00,ANTI,Mist/Drizzle,2.0,False,75.0,75.8000030517578,False,07:21:00,Calling,ANTI-0078,1,Kimberly Serno,Forest
No effect on count,21.7000007629395,Northern Cardinal,Unknown,2018-05-22,True,94228,False,2018,Cardinalis cardinalis,179124,ANTI,NOCA,1.25,Forest,07:31:00,ANTI,Mist/Drizzle,2.0,False,50.0,75.8000030517578,False,07:21:00,Singing,ANTI-0078,1,Kimberly Serno,Forest
No effect on count,21.7000007629395,Northern Cardinal,Unknown,2018-05-22,True,94228,False,2018,Cardinalis cardinalis,179124,ANTI,NOCA,1.25,Forest,07:31:00,ANTI,Mist/Drizzle,2.0,False,75.0,75.8000030517578,False,07:21:00,Singing,ANTI-0078,1,Kimberly Serno,Forest
No effect on count,21.7000007629395,Field Sparrow,Undetermined,2018-05-22,False,84790,False,2018,Spizella pusilla,179443,ANTI,FISP,8.75,Forest,07:31:00,ANTI,Mist/Drizzle,2.0,False,50.0,75.8000030517578,True,07:21:00,Singing,ANTI-0078,1,Kimberly Serno,Forest
No effect on count,21.7000007629395,Chipping Sparrow,Undetermined,2018-05-22,False,84781,False,2018,Spizella passerina,179435,ANTI,CHSP,8.75,Forest,07:31:00,ANTI,Mist/Drizzle,2.0,False,75.0,75.8000030517578,False,07:21:00,Singing,ANTI-0078,1,Kimberly Serno,Forest
No effect on count,21.7000007629395,Eastern Towhee,Undetermined,2018-05-22,False,83803,False,2018,Pipilo erythrophthalmus,179276,ANTI,EATO,6.25,Forest,07:31:00,ANTI,Mist/Drizzle,2.0,False,50.0,75.8000030517578,True,07:21:00,Singing,ANTI-0078,1,Kimberly Serno,Forest
No effect on count,21.7000007629395,Field Sparrow,Undetermined,2018-05-22,True,84790,False,2018,Spizella pusilla,179443,ANTI,FISP,1.25,Forest,07:31:00,ANTI,Mist/Drizzle,2.0,False,75.0,75.8000030517578,True,07:21:00,Singing,ANTI-0078,1,Kimberly Serno,Forest
No effect on count,21.7000007629395,Blue-gray Gnatcatcher,Unknown,2018-05-22,False,88038,False,2018,Polioptila caerulea,179853,ANTI,BGGN,6.25,Forest,07:31:00,ANTI,Mist/Drizzle,2.0,False,50.0,75.8000030517578,False,07:21:00,Calling,ANTI-0078,1,Kimberly Serno,Forest
No effect on count,21.7000007629395,Carolina Chickadee,Unknown,2018-05-22,False,265876,False,2018,Poecile carolinensis,554383,ANTI,CACH,3.75,Forest,07:31:00,ANTI,Mist/Drizzle,2.0,False,50.0,75.8000030517578,True,07:21:00,Calling,ANTI-0078,1,Kimberly Serno,Forest
No effect on count,21.7000007629395,Cedar Waxwing,Unknown,2018-05-22,False,88296,False,2018,Bombycilla cedrorum,178532,ANTI,CEDW,6.25,Forest,07:31:00,ANTI,Mist/Drizzle,2.0,False,50.0,75.8000030517578,False,07:21:00,Calling,ANTI-0078,1,Kimberly Serno,Forest
No effect on count,21.7000007629395,Eastern Towhee,Undetermined,2018-05-22,False,83803,False,2018,Pipilo erythrophthalmus,179276,ANTI,EATO,3.75,Forest,07:31:00,ANTI,Mist/Drizzle,2.0,False,75.0,75.8000030517578,True,07:21:00,Singing,ANTI-0078,1,Kimberly Serno,Forest
Moderate effect on count,28.5,Blue Jay,Unknown,2018-05-23,True,86252,False,2018,Cyanocitta cristata,179680,ANTI,BLJA,1.25,Forest,08:38:00,ANTI,Partly Cloudy,5.5,False,75.0,66.0,False,08:28:00,Calling,ANTI-0025,1,Elizabeth Oswald,Forest
Moderate effect on count,28.5,Eastern Bluebird,Undetermined,2018-05-23,False,87184,False,2018,Sialia sialis,179801,ANTI,EABL,8.75,Forest,08:38:00,ANTI,Partly Cloudy,5.5,False,50.0,66.0,False,08:28:00,Visualization,ANTI-0025,1,Elizabeth Oswald,Forest
Moderate effect on count,28.5,American Goldfinch,Unknown,2018-05-23,True,95300,False,2018,Spinus tristis,179236,ANTI,AMGO,1.25,Forest,08:38:00,ANTI,Partly Cloudy,5.5,False,75.0,66.0,False,08:28:00,Calling,ANTI-0025,1,Elizabeth Oswald,Forest
Moderate effect on count,28.5,Cedar Waxwing,Unknown,2018-05-23,True,88296,False,2018,Bombycilla cedrorum,178532,ANTI,CEDW,1.25,Forest,08:38:00,ANTI,Partly Cloudy,5.5,True,62.25455405725101,66.0,False,08:28:00,Visualization,ANTI-0025,1,Elizabeth Oswald,Forest
Moderate effect on count,28.5,Field Sparrow,Undetermined,2018-05-23,True,84790,False,2018,Spizella pusilla,179443,ANTI,FISP,1.25,Forest,08:38:00,ANTI,Partly Cloudy,5.5,False,75.0,66.0,True,08:28:00,Singing,ANTI-0025,1,Elizabeth Oswald,Forest
Moderate effect on count,28.5,Indigo Bunting,Undetermined,2018-05-23,False,94257,False,2018,Passerina cyanea,179150,ANTI,INBU,3.75,Forest,08:38:00,ANTI,Partly Cloudy,5.5,False,75.0,66.0,True,08:28:00,Singing,ANTI-0025,1,Elizabeth Oswald,Forest
Moderate effect on count,28.5,Red-winged Blackbird,Unknown,2018-05-23,False,93613,False,2018,Agelaius phoeniceus,179045,ANTI,RWBL,6.25,Forest,08:38:00,ANTI,Partly Cloudy,5.5,True,62.25455405725101,66.0,False,08:28:00,Visualization,ANTI-0025,1,Elizabeth Oswald,Forest
Moderate effect on count,28.5,Northern Mockingbird,Unknown,2018-05-23,True,88394,False,2018,Mimus polyglottos,178620,ANTI,NOMO,3.75,Forest,08:38:00,ANTI,Partly Cloudy,5.5,False,75.0,66.0,False,08:28:00,Singing,ANTI-0025,1,Elizabeth Oswald,Forest
Moderate effect on count,27.5,Carolina Wren,Unknown,2018-05-23,True,88350,False,2018,Thryothorus ludovicianus,178581,ANTI,CARW,1.25,Forest,09:36:00,ANTI,Partly Cloudy,2.0,False,75.0,62.9000015258789,False,09:26:00,Calling,ANTI-0052,1,Elizabeth Oswald,Forest
Moderate effect on count,27.5,Eastern Tufted Titmouse,Unknown,2018-05-23,False,266957,False,2018,Baeolophus bicolor,554138,ANTI,ETTI,6.25,Forest,09:36:00,ANTI,Partly Cloudy,2.0,False,50.0,62.9000015258789,False,09:26:00,Singing,ANTI-0052,1,Elizabeth Oswald,Forest
Moderate effect on count,27.5,Pileated Woodpecker,Male,2018-05-23,False,84833,False,2018,Dryocopus pileatus,178166,ANTI,PIWO,8.75,Forest,09:36:00,ANTI,Partly Cloudy,2.0,False,50.0,62.9000015258789,False,09:26:00,Visualization,ANTI-0052,1,Elizabeth Oswald,Forest
Moderate effect on count,27.5,Pileated Woodpecker,Undetermined,2018-05-23,False,84833,False,2018,Dryocopus pileatus,178166,ANTI,PIWO,8.75,Forest,09:36:00,ANTI,Partly Cloudy,2.0,False,50.0,62.9000015258789,False,09:26:00,Visualization,ANTI-0052,1,Elizabeth Oswald,Forest
Moderate effect on count,27.5,Northern Cardinal,Unknown,2018-05-23,True,94228,False,2018,Cardinalis cardinalis,179124,ANTI,NOCA,1.25,Forest,09:36:00,ANTI,Partly Cloudy,2.0,False,50.0,62.9000015258789,False,09:26:00,Singing,ANTI-0052,1,Elizabeth Oswald,Forest
Moderate effect on count,27.5,Northern Cardinal,Unknown,2018-05-23,True,94228,False,2018,Cardinalis cardinalis,179124,ANTI,NOCA,1.25,Forest,09:36:00,ANTI,Partly Cloudy,2.0,False,50.0,62.9000015258789,False,09:26:00,Calling,ANTI-0052,1,Elizabeth Oswald,Forest
Moderate effect on count,27.5,Brown-headed Cowbird,Undetermined,2018-05-23,False,94215,False,2018,Molothrus ater,179112,ANTI,BHCO,6.25,Forest,09:36:00,ANTI,Partly Cloudy,2.0,False,50.0,62.9000015258789,False,09:26:00,Visualization,ANTI-0052,1,Elizabeth Oswald,Forest
Moderate effect on count,27.5,Field Sparrow,Undetermined,2018-05-23,False,84790,False,2018,Spizella pusilla,179443,ANTI,FISP,6.25,Forest,09:36:00,ANTI,Partly Cloudy,2.0,False,75.0,62.9000015258789,True,09:26:00,Singing,ANTI-0052,1,Elizabeth Oswald,Forest
Moderate effect on count,27.5,Eastern Tufted Titmouse,Unknown,2018-05-23,False,266957,False,2018,Baeolophus bicolor,554138,ANTI,ETTI,3.75,Forest,09:36:00,ANTI,Partly Cloudy,2.0,False,75.0,62.9000015258789,False,09:26:00,Singing,ANTI-0052,1,Elizabeth Oswald,Forest
Moderate effect on count,27.5,Eastern Wood-Pewee,Undetermined,2018-05-23,False,85846,False,2018,Contopus virens,178359,ANTI,EAWP,6.25,Forest,09:36:00,ANTI,Partly Cloudy,2.0,False,75.0,62.9000015258789,True,09:26:00,Singing,ANTI-0052,1,Elizabeth Oswald,Forest
Moderate effect on count,27.5,Cedar Waxwing,Unknown,2018-05-23,True,88296,False,2018,Bombycilla cedrorum,178532,ANTI,CEDW,1.25,Forest,09:36:00,ANTI,Partly Cloudy,2.0,False,50.0,62.9000015258789,False,09:26:00,Singing,ANTI-0052,1,Elizabeth Oswald,Forest
Moderate effect on count,27.5,Blue-gray Gnatcatcher,Unknown,2018-05-23,True,88038,False,2018,Polioptila caerulea,179853,ANTI,BGGN,1.25,Forest,09:36:00,ANTI,Partly Cloudy,2.0,False,50.0,62.9000015258789,False,09:26:00,Calling,ANTI-0052,1,Elizabeth Oswald,Forest
Moderate effect on count,27.5,Brown-headed Cowbird,Male,2018-05-23,False,94215,False,2018,Molothrus ater,179112,ANTI,BHCO,6.25,Forest,09:36:00,ANTI,Partly Cloudy,2.0,False,50.0,62.9000015258789,False,09:26:00,Visualization,ANTI-0052,1,Elizabeth Oswald,Forest
Slight effect on count,26.1000003814697,Cedar Waxwing,Unknown,2018-05-23,True,88296,False,2018,Bombycilla cedrorum,178532,ANTI,CEDW,1.25,Forest,10:11:00,ANTI,Clear or Few Clouds,5.5,False,50.0,61.2000007629395,False,10:01:00,Singing,ANTI-0072,1,Elizabeth Oswald,Forest
Slight effect on count,26.1000003814697,Carolina Wren,Unknown,2018-05-23,True,88350,False,2018,Thryothorus ludovicianus,178581,ANTI,CARW,1.25,Forest,10:11:00,ANTI,Clear or Few Clouds,5.5,False,75.0,61.2000007629395,False,10:01:00,Singing,ANTI-0072,1,Elizabeth Oswald,Forest
Slight effect on count,26.1000003814697,Carolina Chickadee,Unknown,2018-05-23,False,265876,False,2018,Poecile carolinensis,554383,ANTI,CACH,6.25,Forest,10:11:00,ANTI,Clear or Few Clouds,5.5,False,75.0,61.2000007629395,True,10:01:00,Singing,ANTI-0072,1,Elizabeth Oswald,Forest
Slight effect on count,26.1000003814697,Eastern Tufted Titmouse,Unknown,2018-05-23,True,266957,False,2018,Baeolophus bicolor,554138,ANTI,ETTI,1.25,Forest,10:11:00,ANTI,Clear or Few Clouds,5.5,False,50.0,61.2000007629395,False,10:01:00,Calling,ANTI-0072,1,Elizabeth Oswald,Forest
Slight effect on count,26.1000003814697,Northern Cardinal,Unknown,2018-05-23,True,94228,False,2018,Cardinalis cardinalis,179124,ANTI,NOCA,1.25,Forest,10:11:00,ANTI,Clear or Few Clouds,5.5,False,75.0,61.2000007629395,False,10:01:00,Singing,ANTI-0072,1,Elizabeth Oswald,Forest
Slight effect on count,26.1000003814697,Red-bellied Woodpecker,Unknown,2018-05-23,True,84865,False,2018,Melanerpes carolinus,178195,ANTI,RBWO,1.25,Forest,10:11:00,ANTI,Clear or Few Clouds,5.5,False,75.0,61.2000007629395,False,10:01:00,Calling,ANTI-0072,1,Elizabeth Oswald,Forest
Slight effect on count,26.1000003814697,Red-eyed Vireo,Undetermined,2018-05-23,False,93587,False,2018,Vireo olivaceus,179021,ANTI,REVI,3.75,Forest,10:11:00,ANTI,Clear or Few Clouds,5.5,False,75.0,61.2000007629395,False,10:01:00,Singing,ANTI-0072,1,Elizabeth Oswald,Forest
Slight effect on count,26.1000003814697,Eastern Bluebird,Unknown,2018-05-23,True,87184,False,2018,Sialia sialis,179801,ANTI,EABL,1.25,Forest,10:11:00,ANTI,Clear or Few Clouds,5.5,False,75.0,61.2000007629395,False,10:01:00,Calling,ANTI-0072,1,Elizabeth Oswald,Forest
Slight effect on count,26.1000003814697,Unidentified Chickadee,Unknown,2018-05-23,False,263793,False,2018,Poecile,553526,ANTI,UNCH,6.25,Forest,10:11:00,ANTI,Clear or Few Clouds,5.5,False,75.0,61.2000007629395,False,10:01:00,Calling,ANTI-0072,1,Elizabeth Oswald,Forest
Slight effect on count,14.0,Eastern Tufted Titmouse,Unknown,2018-05-24,True,266957,False,2018,Baeolophus bicolor,554138,ANTI,ETTI,1.25,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,50.0,87.4000015258789,False,07:09:00,Singing,ANTI-0092,1,Kimberly Serno,Forest
Slight effect on count,14.0,Acadian Flycatcher,Unknown,2018-05-24,True,85824,False,2018,Empidonax virescens,178339,ANTI,ACFL,1.25,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,50.0,87.4000015258789,True,07:09:00,Singing,ANTI-0092,1,Kimberly Serno,Forest
Slight effect on count,14.0,Acadian Flycatcher,Unknown,2018-05-24,True,85824,False,2018,Empidonax virescens,178339,ANTI,ACFL,1.25,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,75.0,87.4000015258789,True,07:09:00,Singing,ANTI-0092,1,Kimberly Serno,Forest
Slight effect on count,14.0,American Goldfinch,Unknown,2018-05-24,False,95300,False,2018,Spinus tristis,179236,ANTI,AMGO,6.25,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,50.0,87.4000015258789,False,07:09:00,Singing,ANTI-0092,1,Kimberly Serno,Forest
Slight effect on count,14.0,Blue-gray Gnatcatcher,Unknown,2018-05-24,False,88038,False,2018,Polioptila caerulea,179853,ANTI,BGGN,3.75,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,50.0,87.4000015258789,False,07:09:00,Calling,ANTI-0092,1,Kimberly Serno,Forest
Slight effect on count,14.0,Brown-headed Cowbird,Unknown,2018-05-24,False,94215,False,2018,Molothrus ater,179112,ANTI,BHCO,6.25,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,75.0,87.4000015258789,False,07:09:00,Calling,ANTI-0092,1,Kimberly Serno,Forest
Slight effect on count,14.0,Carolina Wren,Unknown,2018-05-24,False,88350,False,2018,Thryothorus ludovicianus,178581,ANTI,CARW,3.75,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,75.0,87.4000015258789,False,07:09:00,Singing,ANTI-0092,1,Kimberly Serno,Forest
Slight effect on count,14.0,Eastern Wood-Pewee,Undetermined,2018-05-24,True,85846,False,2018,Contopus virens,178359,ANTI,EAWP,1.25,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,75.0,87.4000015258789,True,07:09:00,Singing,ANTI-0092,1,Kimberly Serno,Forest
Slight effect on count,14.0,Eastern Tufted Titmouse,Unknown,2018-05-24,False,266957,False,2018,Baeolophus bicolor,554138,ANTI,ETTI,3.75,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,75.0,87.4000015258789,False,07:09:00,Singing,ANTI-0092,1,Kimberly Serno,Forest
Slight effect on count,14.0,Hairy Woodpecker,Unknown,2018-05-24,False,85739,False,2018,Picoides villosus,178262,ANTI,HAWO,8.75,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,50.0,87.4000015258789,False,07:09:00,Calling,ANTI-0092,1,Kimberly Serno,Forest
Slight effect on count,14.0,Indigo Bunting,Undetermined,2018-05-24,False,94257,False,2018,Passerina cyanea,179150,ANTI,INBU,6.25,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,50.0,87.4000015258789,True,07:09:00,Singing,ANTI-0092,1,Kimberly Serno,Forest
Slight effect on count,14.0,Northern Cardinal,Unknown,2018-05-24,True,94228,False,2018,Cardinalis cardinalis,179124,ANTI,NOCA,1.25,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,75.0,87.4000015258789,False,07:09:00,Singing,ANTI-0092,1,Kimberly Serno,Forest
Slight effect on count,14.0,Red-bellied Woodpecker,Unknown,2018-05-24,False,84865,False,2018,Melanerpes carolinus,178195,ANTI,RBWO,8.75,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,50.0,87.4000015258789,False,07:09:00,Calling,ANTI-0092,1,Kimberly Serno,Forest
Slight effect on count,14.0,Red-bellied Woodpecker,Unknown,2018-05-24,False,84865,False,2018,Melanerpes carolinus,178195,ANTI,RBWO,8.75,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,75.0,87.4000015258789,False,07:09:00,Calling,ANTI-0092,1,Kimberly Serno,Forest
Slight effect on count,14.0,Red-eyed Vireo,Undetermined,2018-05-24,False,93587,False,2018,Vireo olivaceus,179021,ANTI,REVI,6.25,Forest,07:19:00,ANTI,Partly Cloudy,2.0,False,75.0,87.4000015258789,False,07:09:00,Singing,ANTI-0092,1,Kimberly Serno,Forest
