ID_Method,Observer,Start_Time,Scientific_Name,Temperature,Interval_Length,Wind,Visit,Source_Sheet,Humidity,Distance,Admin_Unit_Code,Common_Name,PIF_Watchlist_Status,Sex,Year,End_Time,Date,Sky,TaxonCode,Initial_Three_Min_Cnt,Regional_Stewardship_Status,Plot_Name,AOU_Code,Disturbance,AcceptedTSN,Flyover_Observed,Location_Type,Ecosystem
Calling,Elizabeth Oswald,06:19:00,Corvus brachyrhynchos,19.8999996185303,3.75,1.0,1,ANTI,79.4000015258789,75.0,ANTI,American Crow,False,Unknown,2018,06:29:00,2018-05-22,Cloudy/Overcast,87106,False,False,ANTI-0036,AMCR,No effect on count,179731.0,False,Forest,Forest
Singing,Elizabeth Oswald,06:19:00,Passerina cyanea,19.8999996185303,1.25,1.0,1,ANTI,79.4000015258789,50.0,ANTI,Indigo Bunting,False,Undetermined,2018,06:29:00,2018-05-22,Cloudy/Overcast,94257,True,True,ANTI-0036,INBU,No effect on count,179150.0,False,Forest,Forest
Singing,Elizabeth Oswald,06:19:00,Baeolophus bicolor,19.8999996185303,3.75,1.0,1,ANTI,79.4000015258789,50.0,ANTI,Eastern Tufted Titmouse,False,Unknown,2018,06:29:00,2018-05-22,Cloudy/Overcast,266957,False,False,ANTI-0036,ETTI,No effect on count,554138.0,False,Forest,Forest
Singing,Elizabeth Oswald,06:19:00,Setophaga petechia,19.8999996185303,8.75,1.0,1,ANTI,79.4000015258789,50.0,ANTI,Yellow Warbler,False,Undetermined,2018,06:29:00,2018-05-22,Cloudy/Overcast,773778,False,False,ANTI-0036,YEWA,No effect on count,950039.0,False,Forest,Forest
Visualization,Elizabeth Oswald,06:19:00,Zenaida macroura,19.8999996185303,3.75,1.0,1,ANTI,79.4000015258789,50.0,ANTI,Mourning Dove,False,Unknown,2018,06:29:00,2018-05-22,Cloudy/Overcast,82737,False,False,ANTI-0036,MODO,No effect on count,177125.0,False,Forest,Forest
Singing,Elizabeth Oswald,06:19:00,Spizella pusilla,19.8999996185303,3.75,1.0,1,ANTI,79.4000015258789,50.0,ANTI,Field Sparrow,False,Undetermined,2018,06:29:00,2018-05-22,Cloudy/Overcast,84790,False,True,ANTI-0036,FISP,No effect on count,179443.0,False,Forest,Forest
Calling,Kimberly Serno,06:02:00,Melanerpes carolinus,20.7999992370605,6.25,1.0,1,ANTI,72.1999969482422,75.0,ANTI,Red-bellied Woodpecker,False,Unknown,2018,06:12:00,2018-05-22,Cloudy/Overcast,84865,False,False,ANTI-0082,RBWO,No effect on count,178195.0,False,Forest,Forest
Singing,Kimberly Serno,06:02:00,Baeolophus bicolor,20.7999992370605,8.75,1.0,1,ANTI,72.1999969482422,75.0,ANTI,Eastern Tufted Titmouse,False,Undetermined,2018,06:12:00,2018-05-22,Cloudy/Overcast,266957,False,False,ANTI-0082,ETTI,No effect on count,554138.0,False,Forest,Forest
Singing,Kimberly Serno,06:02:00,Baeolophus bicolor,20.7999992370605,1.25,1.0,1,ANTI,72.1999969482422,50.0,ANTI,Eastern Tufted Titmouse,False,Undetermined,2018,06:12:00,2018-05-22,Cloudy/Overcast,266957,True,False,ANTI-0082,ETTI,No effect on count,554138.0,False,Forest,Forest
Singing,Kimberly Serno,06:02:00,Sialia sialis,20.7999992370605,1.25,1.0,1,ANTI,72.1999969482422,50.0,ANTI,Eastern Bluebird,False,Unknown,2018,06:12:00,2018-05-22,Cloudy/Overcast,87184,True,False,ANTI-0082,EABL,No effect on count,179801.0,False,Forest,Forest
Calling,Kimberly Serno,06:02:00,Picoides pubescens,20.7999992370605,1.25,1.0,1,ANTI,72.1999969482422,50.0,ANTI,Downy Woodpecker,False,Unknown,2018,06:12:00,2018-05-22,Cloudy/Overcast,84936,True,True,ANTI-0082,DOWO,No effect on count,178259.0,False,Forest,Forest
Singing,Kimberly Serno,06:02:00,Spizella passerina,20.7999992370605,1.25,1.0,1,ANTI,72.1999969482422,75.0,ANTI,Chipping Sparrow,False,Undetermined,2018,06:12:00,2018-05-22,Cloudy/Overcast,84781,True,False,ANTI-0082,CHSP,No effect on count,179435.0,False,Forest,Forest
Singing,Kimberly Serno,06:02:00,Thryothorus ludovicianus,20.7999992370605,3.75,1.0,1,ANTI,72.1999969482422,50.0,ANTI,Carolina Wren,False,Unknown,2018,06:12:00,2018-05-22,Cloudy/Overcast,88350,False,False,ANTI-0082,CARW,No effect on count,178581.0,False,Forest,Forest
Calling,Kimberly Serno,06:02:00,Thryothorus ludovicianus,20.7999992370605,1.25,1.0,1,ANTI,72.1999969482422,75.0,ANTI,Carolina Wren,False,Unknown,2018,06:12:00,2018-05-22,Cloudy/Overcast,88350,True,False,ANTI-0082,CARW,No effect on count,178581.0,False,Forest,Forest
Singing,Kimberly Serno,06:02:00,Icterus galbula,20.7999992370605,8.75,1.0,1,ANTI,72.1999969482422,50.0,ANTI,Baltimore Oriole,False,Unknown,2018,06:12:00,2018-05-22,Cloudy/Overcast,93655,False,False,ANTI-0082,BAOR,No effect on count,179083.0,False,Forest,Forest
Singing,Kimberly Serno,06:02:00,Cardinalis cardinalis,20.7999992370605,1.25,1.0,1,ANTI,72.1999969482422,75.0,ANTI,Northern Cardinal,False,Unknown,2018,06:12:00,2018-05-22,Cloudy/Overcast,94228,True,False,ANTI-0082,NOCA,No effect on count,179124.0,False,Forest,Forest
Calling,Kimberly Serno,06:02:00,Myiarchus crinitus,20.7999992370605,3.75,1.0,1,ANTI,72.1999969482422,75.0,ANTI,Great Crested Flycatcher,False,Unknown,2018,06:12:00,2018-05-22,Cloudy/Overcast,85791,False,False,ANTI-0082,GCFL,No effect on count,178309.0,False,Forest,Forest
Singing,Kimberly Serno,07:21:00,Contopus virens,21.7000007629395,3.75,2.0,1,ANTI,75.8000030517578,75.0,ANTI,Eastern Wood-Pewee,False,Undetermined,2018,07:31:00,2018-05-22,Mist/Drizzle,85846,False,True,ANTI-0078,EAWP,No effect on count,178359.0,False,Forest,Forest
Singing,Kimberly Serno,07:21:00,Spizella pusilla,21.7000007629395,8.75,2.0,1,ANTI,75.8000030517578,75.0,ANTI,Field Sparrow,False,Undetermined,2018,07:31:00,2018-05-22,Mist/Drizzle,84790,False,True,ANTI-0078,FISP,No effect on count,179443.0,False,Forest,Forest
Singing,Kimberly Serno,07:21:00,Passerina cyanea,21.7000007629395,3.75,2.0,1,ANTI,75.8000030517578,50.0,ANTI,Indigo Bunting,False,Undetermined,2018,07:31:00,2018-05-22,Mist/Drizzle,94257,False,True,ANTI-0078,INBU,No effect on count,179150.0,False,Forest,Forest
Calling,Kimberly Serno,07:21:00,Zenaida macroura,21.7000007629395,1.25,2.0,1,ANTI,75.8000030517578,75.0,ANTI,Mourning Dove,False,Unknown,2018,07:31:00,2018-05-22,Mist/Drizzle,82737,True,False,ANTI-0078,MODO,No effect on count,177125.0,False,Forest,Forest
Singing,Kimberly Serno,07:21:00,Cardinalis cardinalis,21.7000007629395,1.25,2.0,1,ANTI,75.8000030517578,50.0,ANTI,Northern Cardinal,False,Unknown,2018,07:31:00,2018-05-22,Mist/Drizzle,94228,True,False,ANTI-0078,NOCA,No effect on count,179124.0,False,Forest,Forest
Singing,Kimberly Serno,07:21:00,Cardinalis cardinalis,21.7000007629395,1.25,2.0,1,ANTI,75.8000030517578,75.0,ANTI,Northern Cardinal,False,Unknown,2018,07:31:00,2018-05-22,Mist/Drizzle,94228,True,False,ANTI-0078,NOCA,No effect on count,179124.0,False,Forest,Forest
Singing,Kimberly Serno,07:21:00,Spizella pusilla,21.7000007629395,8.75,2.0,1,ANTI,75.8000030517578,50.0,ANTI,Field Sparrow,False,Undetermined,2018,07:31:00,2018-05-22,Mist/Drizzle,84790,False,True,ANTI-0078,FISP,No effect on count,179443.0,False,Forest,Forest
Singing,Kimberly Serno,07:21:00,Spizella passerina,21.7000007629395,8.75,2.0,1,ANTI,75.8000030517578,75.0,ANTI,Chipping Sparrow,False,Undetermined,2018,07:31:00,2018-05-22,Mist/Drizzle,84781,False,False,ANTI-0078,CHSP,No effect on count,179435.0,False,Forest,Forest
Singing,Kimberly Serno,07:21:00,Pipilo erythrophthalmus,21.7000007629395,6.25,2.0,1,ANTI,75.8000030517578,50.0,ANTI,Eastern Towhee,False,Undetermined,2018,07:31:00,2018-05-22,Mist/Drizzle,83803,False,True,ANTI-0078,EATO,No effect on count,179276.0,False,Forest,Forest
Singing,Kimberly Serno,07:21:00,Spizella pusilla,21.7000007629395,1.25,2.0,1,ANTI,75.8000030517578,75.0,ANTI,Field Sparrow,False,Undetermined,2018,07:31:00,2018-05-22,Mist/Drizzle,84790,True,True,ANTI-0078,FISP,No effect on count,179443.0,False,Forest,Forest
Calling,Kimberly Serno,07:21:00,Polioptila caerulea,21.7000007629395,6.25,2.0,1,ANTI,75.8000030517578,50.0,ANTI,Blue-gray Gnatcatcher,False,Unknown,2018,07:31:00,2018-05-22,Mist/Drizzle,88038,False,False,ANTI-0078,BGGN,No effect on count,179853.0,False,Forest,Forest
Calling,Kimberly Serno,07:21:00,Poecile carolinensis,21.7000007629395,3.75,2.0,1,ANTI,75.8000030517578,50.0,ANTI,Carolina Chickadee,False,Unknown,2018,07:31:00,2018-05-22,Mist/Drizzle,265876,False,True,ANTI-0078,CACH,No effect on count,554383.0,False,Forest,Forest
Calling,Kimberly Serno,07:21:00,Bombycilla cedrorum,21.7000007629395,6.25,2.0,1,ANTI,75.8000030517578,50.0,ANTI,Cedar Waxwing,False,Unknown,2018,07:31:00,2018-05-22,Mist/Drizzle,88296,False,False,ANTI-0078,CEDW,No effect on count,178532.0,False,Forest,Forest
Singing,Kimberly Serno,07:21:00,Pipilo erythrophthalmus,21.7000007629395,3.75,2.0,1,ANTI,75.8000030517578,75.0,ANTI,Eastern Towhee,False,Undetermined,2018,07:31:00,2018-05-22,Mist/Drizzle,83803,False,True,ANTI-0078,EATO,No effect on count,179276.0,False,Forest,Forest
Calling,Elizabeth Oswald,08:28:00,Cyanocitta cristata,28.5,1.25,5.5,1,ANTI,66.0,75.0,ANTI,Blue Jay,False,Unknown,2018,08:38:00,2018-05-23,Partly Cloudy,86252,True,False,ANTI-0025,BLJA,Moderate effect on count,179680.0,False,Forest,Forest
Visualization,Elizabeth Oswald,08:28:00,Sialia sialis,28.5,8.75,5.5,1,ANTI,66.0,50.0,ANTI,Eastern Bluebird,False,Undetermined,2018,08:38:00,2018-05-23,Partly Cloudy,87184,False,False,ANTI-0025,EABL,Moderate effect on count,179801.0,False,Forest,Forest
Calling,Elizabeth Oswald,08:28:00,Spinus tristis,28.5,1.25,5.5,1,ANTI,66.0,75.0,ANTI,American Goldfinch,False,Unknown,2018,08:38:00,2018-05-23,Partly Cloudy,95300,True,False,ANTI-0025,AMGO,Moderate effect on count,179236.0,False,Forest,Forest
Visualization,Elizabeth Oswald,08:28:00,Bombycilla cedrorum,28.5,1.25,5.5,1,ANTI,66.0,,ANTI,Cedar Waxwing,False,Unknown,2018,08:38:00,2018-05-23,Partly Cloudy,88296,True,False,ANTI-0025,CEDW,Moderate effect on count,178532.0,True,Forest,Forest
Singing,Elizabeth Oswald,08:28:00,Spizella pusilla,28.5,1.25,5.5,1,ANTI,66.0,75.0,ANTI,Field Sparrow,False,Undetermined,2018,08:38:00,2018-05-23,Partly Cloudy,84790,True,True,ANTI-0025,FISP,Moderate effect on count,179443.0,False,Forest,Forest
Singing,Elizabeth Oswald,08:28:00,Passerina cyanea,28.5,3.75,5.5,1,ANTI,66.0,75.0,ANTI,Indigo Bunting,False,Undetermined,2018,08:38:00,2018-05-23,Partly Cloudy,94257,False,True,ANTI-0025,INBU,Moderate effect on count,179150.0,False,Forest,Forest
Visualization,Elizabeth Oswald,08:28:00,Agelaius phoeniceus,28.5,6.25,5.5,1,ANTI,66.0,,ANTI,Red-winged Blackbird,False,Unknown,2018,08:38:00,2018-05-23,Partly Cloudy,93613,False,False,ANTI-0025,RWBL,Moderate effect on count,179045.0,True,Forest,Forest
Singing,Elizabeth Oswald,08:28:00,Mimus polyglottos,28.5,3.75,5.5,1,ANTI,66.0,75.0,ANTI,Northern Mockingbird,False,Unknown,2018,08:38:00,2018-05-23,Partly Cloudy,88394,True,False,ANTI-0025,NOMO,Moderate effect on count,178620.0,False,Forest,Forest
Calling,Elizabeth Oswald,09:26:00,Thryothorus ludovicianus,27.5,1.25,2.0,1,ANTI,62.9000015258789,75.0,ANTI,Carolina Wren,False,Unknown,2018,09:36:00,2018-05-23,Partly Cloudy,88350,True,False,ANTI-0052,CARW,Moderate effect on count,178581.0,False,Forest,Forest
Singing,Elizabeth Oswald,09:26:00,Baeolophus bicolor,27.5,6.25,2.0,1,ANTI,62.9000015258789,50.0,ANTI,Eastern Tufted Titmouse,False,Unknown,2018,09:36:00,2018-05-23,Partly Cloudy,266957,False,False,ANTI-0052,ETTI,Moderate effect on count,554138.0,False,Forest,Forest
Visualization,Elizabeth Oswald,09:26:00,Dryocopus pileatus,27.5,8.75,2.0,1,ANTI,62.9000015258789,50.0,ANTI,Pileated Woodpecker,False,Male,2018,09:36:00,2018-05-23,Partly Cloudy,84833,False,False,ANTI-0052,PIWO,Moderate effect on count,178166.0,False,Forest,Forest
Visualization,Elizabeth Oswald,09:26:00,Dryocopus pileatus,27.5,8.75,2.0,1,ANTI,62.9000015258789,50.0,ANTI,Pileated Woodpecker,False,Undetermined,2018,09:36:00,2018-05-23,Partly Cloudy,84833,False,False,ANTI-0052,PIWO,Moderate effect on count,178166.0,False,Forest,Forest
Singing,Elizabeth Oswald,09:26:00,Cardinalis cardinalis,27.5,1.25,2.0,1,ANTI,62.9000015258789,50.0,ANTI,Northern Cardinal,False,Unknown,2018,09:36:00,2018-05-23,Partly Cloudy,94228,True,False,ANTI-0052,NOCA,Moderate effect on count,179124.0,False,Forest,Forest
Calling,Elizabeth Oswald,09:26:00,Cardinalis cardinalis,27.5,1.25,2.0,1,ANTI,62.9000015258789,50.0,ANTI,Northern Cardinal,False,Unknown,2018,09:36:00,2018-05-23,Partly Cloudy,94228,True,False,ANTI-0052,NOCA,Moderate effect on count,179124.0,False,Forest,Forest
Visualization,Elizabeth Oswald,09:26:00,Molothrus ater,27.5,6.25,2.0,1,ANTI,62.9000015258789,50.0,ANTI,Brown-headed Cowbird,False,Undetermined,2018,09:36:00,2018-05-23,Partly Cloudy,94215,False,False,ANTI-0052,BHCO,Moderate effect on count,179112.0,False,Forest,Forest
Singing,Elizabeth Oswald,09:26:00,Spizella pusilla,27.5,6.25,2.0,1,ANTI,62.9000015258789,75.0,ANTI,Field Sparrow,False,Undetermined,2018,09:36:00,2018-05-23,Partly Cloudy,84790,False,True,ANTI-0052,FISP,Moderate effect on count,179443.0,False,Forest,Forest
Singing,Elizabeth Oswald,09:26:00,Baeolophus bicolor,27.5,3.75,2.0,1,ANTI,62.9000015258789,75.0,ANTI,Eastern Tufted Titmouse,False,Unknown,2018,09:36:00,2018-05-23,Partly Cloudy,266957,False,False,ANTI-0052,ETTI,Moderate effect on count,554138.0,False,Forest,Forest
Singing,Elizabeth Oswald,09:26:00,Contopus virens,27.5,6.25,2.0,1,ANTI,62.9000015258789,75.0,ANTI,Eastern Wood-Pewee,False,Undetermined,2018,09:36:00,2018-05-23,Partly Cloudy,85846,False,True,ANTI-0052,EAWP,Moderate effect on count,178359.0,False,Forest,Forest
Singing,Elizabeth Oswald,09:26:00,Bombycilla cedrorum,27.5,1.25,2.0,1,ANTI,62.9000015258789,50.0,ANTI,Cedar Waxwing,False,Unknown,2018,09:36:00,2018-05-23,Partly Cloudy,88296,True,False,ANTI-0052,CEDW,Moderate effect on count,178532.0,False,Forest,Forest
Calling,Elizabeth Oswald,09:26:00,Polioptila caerulea,27.5,1.25,2.0,1,ANTI,62.9000015258789,50.0,ANTI,Blue-gray Gnatcatcher,False,Unknown,2018,09:36:00,2018-05-23,Partly Cloudy,88038,True,False,ANTI-0052,BGGN,Moderate effect on count,179853.0,False,Forest,Forest
Visualization,Elizabeth Oswald,09:26:00,Molothrus ater,27.5,6.25,2.0,1,ANTI,62.9000015258789,50.0,ANTI,Brown-headed Cowbird,False,Male,2018,09:36:00,2018-05-23,Partly Cloudy,94215,False,False,ANTI-0052,BHCO,Moderate effect on count,179112.0,False,Forest,Forest
Singing,Elizabeth Oswald,10:01:00,Bombycilla cedrorum,26.1000003814697,1.25,5.5,1,ANTI,61.2000007629395,50.0,ANTI,Cedar Waxwing,False,Unknown,2018,10:11:00,2018-05-23,Clear or Few Clouds,88296,True,False,ANTI-0072,CEDW,Slight effect on count,178532.0,False,Forest,Forest
Singing,Elizabeth Oswald,10:01:00,Thryothorus ludovicianus,26.1000003814697,1.25,5.5,1,ANTI,61.2000007629395,75.0,ANTI,Carolina Wren,False,Unknown,2018,10:11:00,2018-05-23,Clear or Few Clouds,88350,True,False,ANTI-0072,CARW,Slight effect on count,178581.0,False,Forest,Forest
Singing,Elizabeth Oswald,10:01:00,Poecile carolinensis,26.1000003814697,6.25,5.5,1,ANTI,61.2000007629395,75.0,ANTI,Carolina Chickadee,False,Unknown,2018,10:11:00,2018-05-23,Clear or Few Clouds,265876,False,True,ANTI-0072,CACH,Slight effect on count,554383.0,False,Forest,Forest
Calling,Elizabeth Oswald,10:01:00,Baeolophus bicolor,26.1000003814697,1.25,5.5,1,ANTI,61.2000007629395,50.0,ANTI,Eastern Tufted Titmouse,False,Unknown,2018,10:11:00,2018-05-23,Clear or Few Clouds,266957,True,False,ANTI-0072,ETTI,Slight effect on count,554138.0,False,Forest,Forest
Singing,Elizabeth Oswald,10:01:00,Cardinalis cardinalis,26.1000003814697,1.25,5.5,1,ANTI,61.2000007629395,75.0,ANTI,Northern Cardinal,False,Unknown,2018,10:11:00,2018-05-23,Clear or Few Clouds,94228,True,False,ANTI-0072,NOCA,Slight effect on count,179124.0,False,Forest,Forest
Calling,Elizabeth Oswald,10:01:00,Melanerpes carolinus,26.1000003814697,1.25,5.5,1,ANTI,61.2000007629395,75.0,ANTI,Red-bellied Woodpecker,False,Unknown,2018,10:11:00,2018-05-23,Clear or Few Clouds,84865,True,False,ANTI-0072,RBWO,Slight effect on count,178195.0,False,Forest,Forest
Singing,Elizabeth Oswald,10:01:00,Vireo olivaceus,26.1000003814697,3.75,5.5,1,ANTI,61.2000007629395,75.0,ANTI,Red-eyed Vireo,False,Undetermined,2018,10:11:00,2018-05-23,Clear or Few Clouds,93587,False,False,ANTI-0072,REVI,Slight effect on count,179021.0,False,Forest,Forest
Calling,Elizabeth Oswald,10:01:00,Sialia sialis,26.1000003814697,1.25,5.5,1,ANTI,61.2000007629395,75.0,ANTI,Eastern Bluebird,False,Unknown,2018,10:11:00,2018-05-23,Clear or Few Clouds,87184,True,False,ANTI-0072,EABL,Slight effect on count,179801.0,False,Forest,Forest
Calling,Elizabeth Oswald,10:01:00,Poecile,26.1000003814697,6.25,5.5,1,ANTI,61.2000007629395,75.0,ANTI,Unidentified Chickadee,False,Unknown,2018,10:11:00,2018-05-23,Clear or Few Clouds,263793,False,False,ANTI-0072,UNCH,Slight effect on count,553526.0,False,Forest,Forest
Singing,Kimberly Serno,07:09:00,Baeolophus bicolor,14.0,1.25,2.0,1,ANTI,87.4000015258789,50.0,ANTI,Eastern Tufted Titmouse,False,Unknown,2018,07:19:00,2018-05-24,Partly Cloudy,266957,True,False,ANTI-0092,ETTI,Slight effect on count,554138.0,False,Forest,Forest
Singing,Kimberly Serno,07:09:00,Empidonax virescens,14.0,1.25,2.0,1,ANTI,87.4000015258789,50.0,ANTI,Acadian Flycatcher,False,Unknown,2018,07:19:00,2018-05-24,Partly Cloudy,85824,True,True,ANTI-0092,ACFL,Slight effect on count,178339.0,False,Forest,Forest
Singing,Kimberly Serno,07:09:00,Empidonax virescens,14.0,1.25,2.0,1,ANTI,87.4000015258789,75.0,ANTI,Acadian Flycatcher,False,Unknown,2018,07:19:00,2018-05-24,Partly Cloudy,85824,True,True,ANTI-0092,ACFL,Slight effect on count,178339.0,False,Forest,Forest
Singing,Kimberly Serno,07:09:00,Spinus tristis,14.0,6.25,2.0,1,ANTI,87.4000015258789,50.0,ANTI,American Goldfinch,False,Unknown,2018,07:19:00,2018-05-24,Partly Cloudy,95300,False,False,ANTI-0092,AMGO,Slight effect on count,179236.0,False,Forest,Forest
Calling,Kimberly Serno,07:09:00,Polioptila caerulea,14.0,3.75,2.0,1,ANTI,87.4000015258789,50.0,ANTI,Blue-gray Gnatcatcher,False,Unknown,2018,07:19:00,2018-05-24,Partly Cloudy,88038,False,False,ANTI-0092,BGGN,Slight effect on count,179853.0,False,Forest,Forest
Calling,Kimberly Serno,07:09:00,Molothrus ater,14.0,6.25,2.0,1,ANTI,87.4000015258789,75.0,ANTI,Brown-headed Cowbird,False,Unknown,2018,07:19:00,2018-05-24,Partly Cloudy,94215,False,False,ANTI-0092,BHCO,Slight effect on count,179112.0,False,Forest,Forest
Singing,Kimberly Serno,07:09:00,Thryothorus ludovicianus,14.0,3.75,2.0,1,ANTI,87.4000015258789,75.0,ANTI,Carolina Wren,False,Unknown,2018,07:19:00,2018-05-24,Partly Cloudy,88350,False,False,ANTI-0092,CARW,Slight effect on count,178581.0,False,Forest,Forest
Singing,Kimberly Serno,07:09:00,Contopus virens,14.0,1.25,2.0,1,ANTI,87.4000015258789,75.0,ANTI,Eastern Wood-Pewee,False,Undetermined,2018,07:19:00,2018-05-24,Partly Cloudy,85846,True,True,ANTI-0092,EAWP,Slight effect on count,178359.0,False,Forest,Forest
Singing,Kimberly Serno,07:09:00,Baeolophus bicolor,14.0,3.75,2.0,1,ANTI,87.4000015258789,75.0,ANTI,Eastern Tufted Titmouse,False,Unknown,2018,07:19:00,2018-05-24,Partly Cloudy,266957,False,False,ANTI-0092,ETTI,Slight effect on count,554138.0,False,Forest,Forest
Calling,Kimberly Serno,07:09:00,Picoides villosus,14.0,8.75,2.0,1,ANTI,87.4000015258789,50.0,ANTI,Hairy Woodpecker,False,Unknown,2018,07:19:00,2018-05-24,Partly Cloudy,85739,False,False,ANTI-0092,HAWO,Slight effect on count,178262.0,False,Forest,Forest
Singing,Kimberly Serno,07:09:00,Passerina cyanea,14.0,6.25,2.0,1,ANTI,87.4000015258789,50.0,ANTI,Indigo Bunting,False,Undetermined,2018,07:19:00,2018-05-24,Partly Cloudy,94257,False,True,ANTI-0092,INBU,Slight effect on count,179150.0,False,Forest,Forest
Singing,Kimberly Serno,07:09:00,Cardinalis cardinalis,14.0,1.25,2.0,1,ANTI,87.4000015258789,75.0,ANTI,Northern Cardinal,False,Unknown,2018,07:19:00,2018-05-24,Partly Cloudy,94228,True,False,ANTI-0092,NOCA,Slight effect on count,179124.0,False,Forest,Forest
Calling,Kimberly Serno,07:09:00,Melanerpes carolinus,14.0,8.75,2.0,1,ANTI,87.4000015258789,50.0,ANTI,Red-bellied Woodpecker,False,Unknown,2018,07:19:00,2018-05-24,Partly Cloudy,84865,False,False,ANTI-0092,RBWO,Slight effect on count,178195.0,False,Forest,Forest
Calling,Kimberly Serno,07:09:00,Melanerpes carolinus,14.0,8.75,2.0,1,ANTI,87.4000015258789,75.0,ANTI,Red-bellied Woodpecker,False,Unknown,2018,07:19:00,2018-05-24,Partly Cloudy,84865,False,False,ANTI-0092,RBWO,Slight effect on count,178195.0,False,Forest,Forest
